skin_r,skin_g,skin_b,hair_r,hair_g,hair_b,eye_r,eye_g,eye_b,skin_hex,hair_hex,eye_hex,fitzpatrick,undertone,depth,season
243,180,140,0,0,0,156,121,114,#f3b48c,,#9c7972,II,warm,very_light,Clear Spring
198,162,141,0,0,0,117,94,83,#c6a28d,,#755e53,II,warm,light,Warm Spring
225,149,107,0,0,0,114,72,63,#e1956b,,#72483f,III,warm,light,Warm Autumn
197,146,129,0,0,0,110,67,56,#c59281,,#6e4338,II,warm,light_medium,Clear Spring
190,160,144,0,0,0,90,81,77,#bea090,,#5a514d,I,warm,light,Light Spring
199,131,83,0,0,0,105,65,48,#c78353,,#694130,IV,warm,light_medium,Warm Autumn
220,191,169,0,0,0,109,84,71,#dcbfa9,,#6d5447,I,warm,very_light,Warm Spring
239,179,153,0,0,0,100,65,65,#efb399,,#644141,II,warm,very_light,Clear Spring
206,154,119,0,0,0,119,109,91,#ce9a77,,#776d5b,III,warm,light,Warm Autumn
240,155,122,0,0,0,138,101,81,#f09b7a,,#8a6551,III,warm,light,Clear Spring
227,177,154,0,0,0,131,112,101,#e3b19a,,#837065,II,warm,very_light,Clear Spring
220,155,125,0,0,0,143,113,100,#dc9b7d,,#8f7164,III,warm,light,Clear Spring
190,155,132,0,0,0,61,54,49,#be9b84,,#3d3631,II,warm,light,Warm Spring
176,143,123,0,0,0,81,73,68,#b08f7b,,#514944,III,warm,light_medium,Warm Spring
108,79,72,0,0,0,49,39,35,#6c4f48,,#312723,VI,neutral,medium_deep,Deep Winter
217,176,156,0,0,0,132,97,78,#d9b09c,,#84614e,I,warm,light,Warm Spring
215,150,130,0,0,0,99,69,63,#d79682,,#63453f,II,warm,light,Clear Spring
187,139,109,0,0,0,78,51,37,#bb8b6d,,#4e3325,IV,warm,light_medium,Warm Autumn
242,199,194,0,0,0,137,112,120,#f2c7c2,,#897078,I,neutral,very_light,Light Summer
212,176,154,0,0,0,105,88,96,#d4b09a,,#695860,I,warm,light,Warm Spring
202,165,147,0,0,0,87,54,46,#caa593,,#57362e,II,warm,light,Warm Spring
236,197,187,0,0,0,143,135,137,#ecc5bb,,#8f8789,I,neutral,very_light,Light Summer
193,146,125,0,0,0,90,68,63,#c1927d,,#5a443f,III,warm,light_medium,Clear Spring
216,171,145,0,0,0,131,97,84,#d8ab91,,#836154,II,warm,light,Clear Spring
250,205,184,0,0,0,138,121,109,#facdb8,,#8a796d,I,warm,very_light,Warm Spring
244,218,200,0,0,0,114,91,73,#f4dac8,,#725b49,I,warm,very_light,Light Spring
193,151,129,0,0,0,88,89,100,#c19781,,#585964,II,warm,light,Warm Spring
203,141,127,0,0,0,107,82,78,#cb8d7f,,#6b524e,III,neutral,light_medium,Light Summer
210,165,145,0,0,0,79,60,49,#d2a591,,#4f3c31,II,warm,light,Warm Spring
219,179,167,0,0,0,106,93,91,#dbb3a7,,#6a5d5b,I,neutral,very_light,Light Summer
219,172,145,0,0,0,134,98,74,#dbac91,,#86624a,II,warm,light,Clear Spring
248,214,197,0,0,0,141,129,108,#f8d6c5,,#8d816c,I,warm,very_light,Light Spring
234,181,167,0,0,0,134,96,89,#eab5a7,,#866059,I,neutral,very_light,Light Summer
243,232,220,0,0,0,114,116,116,#f3e8dc,,#727474,I,neutral,very_light,Light Spring
197,135,117,0,0,0,116,80,68,#c58775,,#745044,III,warm,light_medium,Warm Autumn
139,98,70,0,0,0,96,72,55,#8b6246,,#604837,V,warm,medium,Deep Autumn
207,180,166,0,0,0,90,80,82,#cfb4a6,,#5a5052,I,neutral,very_light,Light Spring
204,164,151,0,0,0,131,112,110,#cca497,,#83706e,I,neutral,light,Light Summer
201,158,122,0,0,0,101,87,79,#c99e7a,,#65574f,III,warm,light,Clear Spring
192,141,107,0,0,0,121,100,81,#c08d6b,,#796451,IV,warm,light_medium,Warm Autumn
211,168,128,0,0,0,84,80,57,#d3a880,,#545039,III,warm,light,Clear Spring
158,119,95,0,0,0,99,82,73,#9e775f,,#635249,V,warm,medium,Deep Autumn
198,152,135,0,0,0,138,113,104,#c69887,,#8a7168,II,warm,light,Warm Spring
217,189,164,0,0,0,96,92,92,#d9bda4,,#605c5c,I,warm,very_light,Warm Spring
223,179,154,0,0,0,156,123,103,#dfb39a,,#9c7b67,II,warm,very_light,Clear Spring
244,197,168,0,0,0,112,116,118,#f4c5a8,,#707476,I,warm,very_light,Clear Spring
142,108,93,0,0,0,60,61,71,#8e6c5d,,#3c3d47,V,warm,medium,Deep Autumn
227,164,132,0,0,0,107,76,63,#e3a484,,#6b4c3f,II,warm,light,Clear Spring
188,125,95,0,0,0,69,50,40,#bc7d5f,,#453228,IV,warm,light_medium,Warm Autumn
201,144,129,0,0,0,68,66,64,#c99081,,#444240,II,neutral,light_medium,Light Summer
239,176,159,0,0,0,98,62,56,#efb09f,,#623e38,I,neutral,very_light,Light Summer
224,171,160,0,0,0,109,81,81,#e0aba0,,#6d5151,I,neutral,light,Light Summer
212,147,145,0,0,0,92,53,53,#d49391,,#5c3535,I,neutral,light,Light Summer
214,165,170,0,0,0,112,89,97,#d6a5aa,,#705961,I,cool,light,Cool Summer
205,137,107,0,0,0,70,57,52,#cd896b,,#463934,IV,warm,light_medium,Warm Autumn
209,155,123,0,0,0,104,76,67,#d19b7b,,#684c43,III,warm,light,Clear Spring
187,154,136,0,0,0,98,86,85,#bb9a88,,#625655,II,warm,light,Warm Spring
207,150,125,0,0,0,85,63,66,#cf967d,,#553f42,III,warm,light,Clear Spring
163,116,90,0,0,0,90,71,62,#a3745a,,#5a473e,V,warm,medium,Deep Autumn
127,79,49,0,0,0,64,46,39,#7f4f31,,#402e27,V,warm,medium_deep,Deep Autumn
147,84,72,0,0,0,70,44,46,#935448,,#462c2e,V,neutral,medium_deep,Deep Winter
202,157,106,0,0,0,134,107,92,#ca9d6a,,#866b5c,III,warm,light,Warm Autumn
242,190,108,0,0,0,75,90,78,#f2be6c,,#4b5a4e,III,warm,very_light,Warm Autumn
215,167,161,0,0,0,95,74,71,#d7a7a1,,#5f4a47,I,neutral,light,Light Summer
162,116,96,0,0,0,87,77,82,#a27460,,#574d52,V,warm,medium,Deep Autumn
162,132,114,0,0,0,89,74,75,#a28472,,#594a4b,IV,warm,light_medium,Warm Autumn
195,148,128,0,0,0,102,84,79,#c39480,,#66544f,II,warm,light,Clear Spring
146,114,90,0,0,0,78,79,74,#92725a,,#4e4f4a,V,warm,medium,Deep Autumn
221,179,145,0,0,0,124,101,84,#ddb391,,#7c6554,II,warm,very_light,Clear Spring
248,182,175,0,0,0,100,72,85,#f8b6af,,#644855,I,neutral,very_light,Light Summer
201,159,136,0,0,0,94,71,70,#c99f88,,#5e4746,II,warm,light,Warm Spring
194,138,105,0,0,0,99,52,28,#c28a69,,#63341c,IV,warm,light_medium,Warm Autumn
234,196,162,0,0,0,123,103,93,#eac4a2,,#7b675d,I,warm,very_light,Clear Spring
194,109,84,0,0,0,87,42,32,#c26d54,,#572a20,IV,warm,light_medium,Deep Autumn
56,53,52,71,66,63,76,75,73,#383534,#47423f,#4c4b49,VI,neutral,very_deep,Deep Autumn
165,185,193,185,207,214,46,57,60,#a5b9c1,#b9cfd6,#2e393c,I,cool,light,Light Summer
244,203,205,0,0,0,85,65,86,#f4cbcd,,#554156,I,cool,very_light,Light Summer
249,167,145,0,0,0,132,88,83,#f9a791,,#845853,II,warm,very_light,Clear Spring
203,130,121,0,0,0,110,67,75,#cb8279,,#6e434b,III,neutral,light_medium,Light Summer
196,153,139,0,0,0,117,100,94,#c4998b,,#75645e,II,neutral,light,Light Summer
236,197,182,0,0,0,139,114,108,#ecc5b6,,#8b726c,I,neutral,very_light,Light Spring
214,177,155,0,0,0,89,58,46,#d6b19b,,#593a2e,I,warm,light,Warm Spring
186,151,126,0,0,0,102,78,60,#ba977e,,#664e3c,III,warm,light,Warm Spring
204,158,139,0,0,0,110,70,49,#cc9e8b,,#6e4631,II,warm,light,Warm Spring
208,164,162,0,0,0,133,110,118,#d0a4a2,,#856e76,I,neutral,light,Light Summer
198,132,91,0,0,0,100,61,56,#c6845b,,#643d38,IV,warm,light_medium,Warm Autumn
213,151,134,0,0,0,107,65,63,#d59786,,#6b413f,II,warm,light,Clear Spring
181,123,110,0,0,0,106,81,72,#b57b6e,,#6a5148,IV,neutral,light_medium,Soft Summer
227,177,142,0,0,0,144,93,68,#e3b18e,,#905d44,II,warm,very_light,Clear Spring
251,217,188,0,0,0,133,116,88,#fbd9bc,,#857458,I,warm,very_light,Warm Spring
221,167,147,0,0,0,91,44,39,#dda793,,#5b2c27,II,warm,light,Clear Spring
197,159,135,0,0,0,101,75,61,#c59f87,,#654b3d,II,warm,light,Warm Spring
207,157,150,0,0,0,101,79,74,#cf9d96,,#654f4a,I,neutral,light,Light Summer
222,174,142,0,0,0,109,94,89,#deae8e,,#6d5e59,II,warm,light,Clear Spring
221,180,156,0,0,0,123,95,76,#ddb49c,,#7b5f4c,I,warm,very_light,Warm Spring
189,125,125,0,0,0,99,67,71,#bd7d7d,,#634347,II,neutral,light_medium,Light Summer
212,158,120,0,0,0,90,61,54,#d49e78,,#5a3d36,III,warm,light,Warm Autumn
212,166,126,0,0,0,83,70,75,#d4a67e,,#53464b,III,warm,light,Clear Spring
208,163,131,0,0,0,118,115,102,#d0a383,,#767366,II,warm,light,Clear Spring
138,98,79,96,69,58,93,83,80,#8a624f,#60453a,#5d5350,V,warm,medium,Deep Autumn
135,76,48,0,0,0,78,50,42,#874c30,,#4e322a,V,warm,medium_deep,Deep Autumn
213,154,101,0,0,0,83,70,56,#d59a65,,#534638,IV,warm,light,Warm Autumn
227,173,142,0,0,0,113,79,83,#e3ad8e,,#714f53,II,warm,light,Clear Spring
225,198,186,0,0,0,90,104,106,#e1c6ba,,#5a686a,I,neutral,very_light,Light Spring
209,165,162,0,0,0,108,75,74,#d1a5a2,,#6c4b4a,I,neutral,light,Light Summer
218,183,162,0,0,0,113,89,76,#dab7a2,,#71594c,I,warm,very_light,Warm Spring
222,177,156,0,0,0,129,98,87,#deb19c,,#816257,I,warm,very_light,Warm Spring
176,155,180,0,0,0,85,89,117,#b09bb4,,#555975,I,cool,light,Light Summer
169,114,92,0,0,0,78,55,46,#a9725c,,#4e372e,V,warm,medium,Deep Autumn
219,168,146,0,0,0,88,38,22,#dba892,,#582616,II,warm,light,Clear Spring
220,170,138,0,0,0,144,106,80,#dcaa8a,,#906a50,II,warm,light,Clear Spring
229,191,160,0,0,0,100,63,83,#e5bfa0,,#643f53,I,warm,very_light,Clear Spring
172,104,77,0,0,0,113,85,72,#ac684d,,#715548,V,warm,medium,Deep Autumn
213,147,146,0,0,0,95,55,56,#d59392,,#5f3738,I,neutral,light,Light Summer
163,124,114,0,0,0,56,44,45,#a37c72,,#382c2d,IV,neutral,light_medium,Soft Summer
221,179,144,0,0,0,115,91,70,#ddb390,,#735b46,II,warm,very_light,Clear Spring
220,157,123,0,0,0,137,114,95,#dc9d7b,,#89725f,III,warm,light,Clear Spring
244,206,190,0,0,0,133,110,93,#f4cebe,,#856e5d,I,neutral,very_light,Light Spring
241,194,178,0,0,0,141,121,107,#f1c2b2,,#8d796b,I,neutral,very_light,Light Summer
220,177,141,0,0,0,91,86,68,#dcb18d,,#5b5644,II,warm,very_light,Clear Spring
223,197,187,0,0,0,87,112,129,#dfc5bb,,#577081,I,neutral,very_light,Light Spring
224,168,152,0,0,0,95,77,75,#e0a898,,#5f4d4b,I,neutral,light,Light Summer
187,141,130,0,0,0,111,96,99,#bb8d82,,#6f6063,II,neutral,light_medium,Light Summer
242,181,154,0,0,0,120,91,85,#f2b59a,,#785b55,II,warm,very_light,Clear Spring
219,177,150,0,0,0,104,94,82,#dbb196,,#685e52,II,warm,very_light,Clear Spring
224,185,138,0,0,0,99,81,66,#e0b98a,,#635142,II,warm,very_light,Clear Spring
168,109,83,0,0,0,100,62,60,#a86d53,,#643e3c,V,warm,medium,Deep Autumn
230,183,160,0,0,0,104,80,68,#e6b7a0,,#685044,I,warm,very_light,Clear Spring
203,150,108,0,0,0,80,74,56,#cb966c,,#504a38,III,warm,light,Warm Autumn
165,97,61,0,0,0,95,67,51,#a5613d,,#5f4333,V,warm,medium,Deep Autumn
225,155,111,0,0,0,79,55,54,#e19b6f,,#4f3736,III,warm,light,Warm Autumn
158,148,131,0,0,0,81,85,89,#9e9483,,#515559,II,warm,light_medium,Light Spring
210,145,126,0,0,0,127,98,90,#d2917e,,#7f625a,III,warm,light,Clear Spring
191,133,103,0,0,0,88,57,44,#bf8567,,#58392c,IV,warm,light_medium,Warm Autumn
237,169,144,0,0,0,107,92,86,#eda990,,#6b5c56,II,warm,very_light,Clear Spring
167,109,96,0,0,0,88,60,65,#a76d60,,#583c41,V,neutral,medium,Deep Winter
189,135,84,0,0,0,73,53,23,#bd8754,,#493517,IV,warm,light_medium,Warm Autumn
218,169,138,0,0,0,106,79,71,#daa98a,,#6a4f47,II,warm,light,Clear Spring
177,116,88,0,0,0,76,50,35,#b17458,,#4c3223,IV,warm,medium,Deep Autumn
227,159,146,0,0,0,102,95,89,#e39f92,,#665f59,II,neutral,light,Light Summer
223,166,183,0,0,0,118,120,143,#dfa6b7,,#76788f,I,cool,light,Cool Summer
148,103,99,0,0,0,76,55,57,#946763,,#4c3739,V,neutral,medium,Deep Winter
204,152,133,0,0,0,118,84,78,#cc9885,,#76544e,II,warm,light,Clear Spring
194,132,86,0,0,0,144,99,73,#c28456,,#906349,IV,warm,light_medium,Warm Autumn
244,204,176,0,0,0,115,100,95,#f4ccb0,,#73645f,I,warm,very_light,Warm Spring
196,157,150,0,0,0,93,84,84,#c49d96,,#5d5454,I,neutral,light,Light Summer
145,98,84,0,0,0,78,62,59,#916254,,#4e3e3b,V,neutral,medium,Deep Winter
182,157,141,0,0,0,67,62,54,#b69d8d,,#433e36,II,warm,light,Light Spring
206,133,89,0,0,0,99,66,58,#ce8559,,#63423a,IV,warm,light_medium,Warm Autumn
219,149,116,0,0,0,83,59,50,#db9574,,#533b32,III,warm,light,Warm Autumn
192,134,119,0,0,0,89,65,60,#c08677,,#59413c,III,neutral,light_medium,Soft Summer
222,176,154,0,0,0,113,94,85,#deb09a,,#715e55,I,warm,very_light,Clear Spring
245,234,164,0,0,0,84,95,119,#f5eaa4,,#545f77,II,warm,very_light,Clear Spring
252,223,171,0,0,0,83,109,123,#fcdfab,,#536d7b,II,warm,very_light,Clear Spring
207,138,102,0,0,0,101,62,59,#cf8a66,,#653e3b,IV,warm,light_medium,Warm Autumn
211,160,129,0,0,0,118,72,47,#d3a081,,#76482f,III,warm,light,Clear Spring
224,187,161,0,0,0,96,73,60,#e0bba1,,#60493c,I,warm,very_light,Warm Spring
231,187,156,0,0,0,145,114,87,#e7bb9c,,#917257,II,warm,very_light,Clear Spring
146,92,72,0,0,0,56,44,42,#925c48,,#382c2a,V,warm,medium_deep,Deep Autumn
127,99,77,0,0,0,77,64,50,#7f634d,,#4d4032,V,warm,medium_deep,Deep Autumn
197,122,95,0,0,0,119,70,52,#c57a5f,,#774634,IV,warm,light_medium,Warm Autumn
174,106,56,0,0,0,98,60,38,#ae6a38,,#623c26,V,warm,medium,Deep Autumn
125,79,83,0,0,0,65,48,63,#7d4f53,,#41303f,VI,cool,medium_deep,Deep Winter
223,151,117,0,0,0,133,86,65,#df9775,,#855641,III,warm,light,Warm Autumn
173,105,77,0,0,0,79,43,41,#ad694d,,#4f2b29,V,warm,medium,Deep Autumn
137,98,77,0,0,0,74,58,57,#89624d,,#4a3a39,V,warm,medium,Deep Autumn
90,63,72,0,0,0,47,36,47,#5a3f48,,#2f242f,VI,cool,deep,Deep Winter
194,113,65,0,0,0,81,47,32,#c27141,,#512f20,V,warm,light_medium,Deep Autumn
242,181,149,0,0,0,125,100,82,#f2b595,,#7d6452,II,warm,very_light,Clear Spring
233,169,152,0,0,0,144,111,102,#e9a998,,#906f66,II,neutral,light,Light Summer
235,191,171,0,0,0,114,94,83,#ebbfab,,#725e53,I,warm,very_light,Warm Spring
218,172,159,0,0,0,125,117,123,#daac9f,,#7d757b,I,neutral,light,Light Summer
219,164,126,0,0,0,130,105,82,#dba47e,,#826952,III,warm,light,Clear Spring
210,143,123,0,0,0,115,107,105,#d28f7b,,#736b69,III,warm,light,Clear Spring
171,121,85,0,0,0,79,59,44,#ab7955,,#4f3b2c,IV,warm,light_medium,Deep Autumn
232,185,173,0,0,0,113,87,80,#e8b9ad,,#715750,I,neutral,very_light,Light Summer
206,150,141,0,0,0,113,82,84,#ce968d,,#715254,II,neutral,light,Light Summer
150,126,98,0,0,0,62,51,43,#967e62,,#3e332b,IV,warm,medium,Deep Autumn
239,200,181,0,0,0,78,73,80,#efc8b5,,#4e4950,I,warm,very_light,Warm Spring
233,177,156,97,82,91,150,118,108,#e9b19c,#61525b,#96766c,I,warm,very_light,Clear Spring
218,174,147,0,0,0,106,101,92,#daae93,,#6a655c,II,warm,light,Clear Spring
233,157,137,0,0,0,139,142,112,#e99d89,,#8b8e70,II,warm,light,Clear Spring
217,172,137,0,0,0,102,91,90,#d9ac89,,#665b5a,II,warm,light,Clear Spring
186,119,86,0,0,0,94,42,26,#ba7756,,#5e2a1a,IV,warm,light_medium,Deep Autumn
219,182,166,0,0,0,84,74,75,#dbb6a6,,#544a4b,I,neutral,very_light,Light Spring
221,180,155,0,0,0,101,75,58,#ddb49b,,#654b3a,I,warm,very_light,Warm Spring
186,115,75,0,0,0,74,41,36,#ba734b,,#4a2924,V,warm,light_medium,Deep Autumn
215,154,144,0,0,0,102,82,79,#d79a90,,#66524f,II,neutral,light,Light Summer
193,146,132,0,0,0,92,68,65,#c19284,,#5c4441,II,neutral,light_medium,Light Summer
198,161,149,0,0,0,94,71,65,#c6a195,,#5e4741,I,neutral,light,Light Summer
196,145,129,0,0,0,72,51,50,#c49181,,#483332,II,neutral,light_medium,Light Summer
217,166,148,0,0,0,91,68,63,#d9a694,,#5b443f,II,warm,light,Clear Spring
202,139,119,0,0,0,120,108,112,#ca8b77,,#786c70,III,warm,light_medium,Warm Autumn
155,102,74,0,0,0,69,43,30,#9b664a,,#452b1e,V,warm,medium,Deep Autumn
199,187,177,0,0,0,106,121,114,#c7bbb1,,#6a7972,I,neutral,very_light,Light Spring
201,153,139,0,0,0,103,85,84,#c9998b,,#675554,II,neutral,light,Light Summer
182,150,140,0,0,0,88,75,70,#b6968c,,#584b46,I,neutral,light_medium,Light Summer
227,189,169,0,0,0,111,81,72,#e3bda9,,#6f5148,I,warm,very_light,Warm Spring
161,116,99,0,0,0,75,60,60,#a17463,,#4b3c3c,IV,warm,medium,Deep Autumn
238,201,189,0,0,0,122,114,112,#eec9bd,,#7a7270,I,neutral,very_light,Light Summer
193,149,122,0,0,0,94,81,74,#c1957a,,#5e514a,III,warm,light,Clear Spring
234,175,149,0,0,0,105,78,71,#eaaf95,,#694e47,II,warm,very_light,Clear Spring
232,190,171,0,0,0,108,85,72,#e8beab,,#6c5548,I,warm,very_light,Warm Spring
193,145,138,0,0,0,106,79,78,#c1918a,,#6a4f4e,II,neutral,light_medium,Light Summer
229,193,192,0,0,0,122,107,105,#e5c1c0,,#7a6b69,I,neutral,very_light,Light Summer
201,160,146,0,0,0,87,74,66,#c9a092,,#574a42,I,neutral,light,Light Summer
205,130,91,0,0,0,101,69,55,#cd825b,,#654537,IV,warm,light_medium,Warm Autumn
121,88,81,0,0,0,52,45,44,#795851,,#342d2c,VI,neutral,medium_deep,Deep Winter
223,175,160,0,0,0,109,95,93,#dfafa0,,#6d5f5d,I,neutral,very_light,Light Summer
205,165,142,0,0,0,116,93,89,#cda58e,,#745d59,II,warm,light,Warm Spring
219,167,141,0,0,0,94,95,103,#dba78d,,#5e5f67,II,warm,light,Clear Spring
110,92,74,0,0,0,60,65,57,#6e5c4a,,#3c4139,VI,warm,medium_deep,Deep Autumn
214,190,175,0,0,0,100,106,104,#d6beaf,,#646a68,I,neutral,very_light,Light Spring
195,160,150,0,0,0,107,97,87,#c3a096,,#6b6157,I,neutral,light,Light Summer
228,197,168,0,0,0,87,77,77,#e4c5a8,,#574d4d,I,warm,very_light,Warm Spring
144,101,68,0,0,0,72,62,45,#906544,,#483e2d,V,warm,medium,Deep Autumn
173,128,135,0,0,0,88,64,75,#ad8087,,#58404b,I,cool,light_medium,Cool Summer
170,123,111,0,0,0,97,77,74,#aa7b6f,,#614d4a,IV,neutral,light_medium,Soft Summer
194,164,144,0,0,0,90,86,76,#c2a490,,#5a564c,II,warm,light,Warm Spring
195,165,144,0,0,0,89,81,73,#c3a590,,#595149,II,warm,light,Warm Spring
223,175,143,0,0,0,146,104,87,#dfaf8f,,#926857,II,warm,very_light,Clear Spring
155,125,119,0,0,0,81,59,51,#9b7d77,,#513b33,III,neutral,light_medium,Soft Summer
196,163,134,0,0,0,97,92,82,#c4a386,,#615c52,II,warm,light,Warm Spring
184,110,90,0,0,0,99,44,45,#b86e5a,,#632c2d,V,warm,medium,Deep Autumn
139,96,80,0,0,0,111,91,84,#8b6050,,#6f5b54,V,warm,medium_deep,Deep Autumn
180,151,126,0,0,0,96,81,69,#b4977e,,#605145,III,warm,light_medium,Warm Spring
